,part_num,name,part_cat_id,in_ldraw
1,901,Baseplate 16 x 30 with Set 080 Yellow House Print,1,TRUE
2,902,Baseplate 16 x 24 with Set 080 Small White House Print,1,TRUE
3,903,Baseplate 16 x 24 with Set 080 Red House Print,1,TRUE
4,904,Baseplate 16 x 24 with Set 080 Large White House Print,1,TRUE
5,1,Homemaker Bookcase 2 x 4 x 4,7,TRUE
6,10,Baseplate 24 x 32,1,TRUE
12,10039,Pullback Motor 8 x 4 x 2/3,44,TRUE
13,10048,Minifig Hair Tousled,13,TRUE
14,10049,Minifig Shield Broad with Spiked Bottom and Cutout Corner,27,TRUE
16,10050,Minifig Sword [Uruk-hai],27,TRUE
17,10051,Minifig Helmet Castle with Lateral Comb [Uruk-hai],27,TRUE
19,10052,"Minifig Beard, Rounded End [Gandalf]",27,TRUE
20,10053,Minifig Sword Small,27,TRUE
21,10054,Minifig Helmet - Rohan Style Castle with Cheek Protection and Horsehead Comb,27,TRUE
28,10057,Body / Head Gollum,13,TRUE
31,10058,"Arm, Bent [Gollum]",13,TRUE
37,10066,Minifig Hair Orc [Plain],24,TRUE
45,10124,"Arm Giant, Right",13,TRUE
47,10126,Hand Hulk - Right,13,TRUE
48,10127,Hand Hulk - Left,13,TRUE
52,10128,Hulk Body [Plain],24,TRUE
58,10154,"Arm Giant, Left",13,TRUE
73,10178,Rock 1 x 2 Crystal Stepped,33,TRUE
91,10197,Technic Pin Connector Hub with 2 Perpendicular Axles,12,TRUE
93,10201,Bracket 1 x 2 - 1 x 4 [Rounded Corners],9,TRUE
94,10202,Tile 6 x 6 with Bottom Tubes,19,TRUE
110,10247,Plate Special 2 x  2 with 1 Pin Hole [Complete Underside Rib],9,TRUE
115,10288,Technic Axle and Pin Connector Triple [120Â° Offset],12,TRUE
126,10305,Minifig Helmet with Front Prongs [Plain],27,TRUE
175,104,Antenna 6H without Stud Hole,32,TRUE
177,10509,"Horse, Moveable Legs [Plain]",28,TRUE
192,10661,"Duplo, Plate 2 x 4 with 2 Holes with Locking Ridges",4,TRUE
207,109,"Technic Shock Absorber 9.5L, Piston Rod",25,TRUE
209,10907,Minifig Headgear Helmet Space with Open Face and Top Hinge,27,TRUE
210,10908,Minifig Visor Top Hinge [Plain],24,TRUE
228,10928,Technic Gear 8 Tooth [Reinforced],52,TRUE
234,10a,Baseplate 24 x 32 with Squared Corners,1,TRUE
235,10b,Baseplate 24 x 32 with Rounded Corners,1,TRUE
